index,"player","fname","lname",week,year,"pos1","fp3",rank
4,"KB-1700","Kyle","Brady",1,2000,"TE","13.50",1
43,"WW-0100","Wesley","Walls",1,2000,"TE","11.80",2
18,"JA-1100","John","Allred",1,2000,"TE","11.60",3
32,"FJ-0500","Freddie","Jones",1,2000,"TE","11.30",4
10,"TD-0800","Tyrone","Davis",1,2000,"TE","9.50",5
46,"FW-1100","Frank","Wycheck",1,2000,"TE","9.10",6
53,"DC-1900","Desmond","Clark",1,2000,"TE","7.70",7
7,"JT-2200","Jeff","Thomason",1,2000,"TE","7.10",8
0,"GC-0500","Greg","Clark",1,2000,"TE","6.60",9
19,"JK-1600","Jimmy","Kleinsasser",1,2000,"TE","5.70",10
12,"TG-1300","Tony","Gonzalez",1,2000,"TE","5.40",11
17,"JD-1000","John","Davis",1,2000,"TE","5.10",12
13,"KD-1000","Ken","Dilger",1,2000,"TE","4.80",13
51,"DC-0800","Dwayne","Carswell",1,2000,"TE","4.70",14
37,"MB-4400","Mark","Bruener",1,2000,"TE","4.70",14
45,"MR-1100","Michael","Roan",1,2000,"TE","4.20",16
22,"EB-1200","Eric","Bjornson",1,2000,"TE","3.50",17
9,"LB-1200","Luther","Broughton",1,2000,"TE","3.20",18
25,"DS-2300","David","Sloan",1,2000,"TE","3.00",19
1,"RK-0200","Reggie","Kelly",1,2000,"TE","3.00",19
42,"SA-0700","Stephen","Alexander",1,2000,"TE","2.90",21
48,"JR-2300","Jay","Riemersma",1,2000,"TE","2.90",21
5,"AS-0800","Aaron","Shea",1,2000,"TE","2.40",23
8,"JH-1800","Jackie","Harris",1,2000,"TE","2.30",24
35,"JB-5600","Jeremy","Brigham",1,2000,"TE","2.30",24
3,"DJ-2200","Damon","Jones",1,2000,"TE","2.20",26
44,"KM-0300","Kris","Mangum",1,2000,"TE","2.20",26
15,"IM-0200","Itula","Mili",1,2000,"TE","2.00",28
30,"DC-0300","Dan","Campbell",1,2000,"TE","2.00",28
20,"AJ-1700","Andrew","Jordan",1,2000,"TE","1.90",30
16,"HG-0200","Hunter","Goodwin",1,2000,"TE","1.80",31
36,"RD-0300","Reggie","Davis",1,2000,"TE","1.80",31
41,"ZF-0100","Zeron","Flemister",1,2000,"TE","1.80",31
23,"DM-3000","Dave","Moore",1,2000,"TE","1.60",34
33,"MR-0800","Mikhael","Ricks",1,2000,"TE","1.60",34
6,"CL-0900","Chad","Lewis",1,2000,"TE","1.60",34
2,"BK-1100","Brian","Kozlowski",1,2000,"TE","1.60",34
34,"RD-1900","Rickey","Dudley",1,2000,"TE","1.50",38
38,"BC-1600","Ben","Coates",1,2000,"TE","1.50",38
11,"BF-1100","Bubba","Franks",1,2000,"TE","1.40",40
24,"RR-1500","Rod","Rutledge",1,2000,"TE","1.40",40
54,"JR-2700","Jeff","Robinson",1,2000,"TE","1.30",42
28,"WR-0300","Walter","Rasby",1,2000,"TE","1.10",43
